Sr. No.,Database Name,Table Name,Element Name,Database Name,Table Name,Data Element,Data Type,Transformation
1,PROV_FINAL,FDL_PROV_LOC,ADDR_LN_1_TXT,CORP_SVC_CMS_SMITH,HIVE_PREM_PROV_EXTRCT,ADDR_LN_1_TXT,STRING,"
FDL_PROV_LOC.RECORD_TYPE = 'C'"
2,PROV_FINAL,FDL_PROV_LOC,ADDR_LN_2_TXT,CORP_SVC_CMS_SMITH,HIVE_PREM_PROV_EXTRCT,ADDR_LN_2_TXT,STRING,Direct Move
3,PROV_FINAL,FDL_PROV_LOC,CTY_CD,CORP_SVC_CMS_SMITH,HIVE_PREM_PROV_EXTRCT,CTY_NM,STRING,Direct Move
4,PROV_FINAL,FDL_PROV_LOC,PHN_NBR,CORP_SVC_CMS_SMITH,HIVE_PREM_PROV_EXTRCT,PHN_NBR,STRING,Direct Move
5,PROV_FINAL,FDL_PROV_SPCLTY,SPLCTY_DESC,CORP_SVC_CMS_SMITH,HIVE_PREM_PROV_EXTRCT,SPCLTY_CD,STRING,"Join Criteria 

Join PROV_FINAL.FDL_PROV_SPCLTY to
PROV_FINAL.FDL_PROV_LOC as below,

FDL_PROV_SPCLTY.CORP_ENT_CD =
FDL_PROV_LOC.CORP_ENT_CD
FDL_PROV_SPCLTY.PROV_ID =
FDL_PROV_LOC.PROV_ID
FDL_PROV_SPCLTY.PROV_LOC_ID=
FDL_PROV_LOC.PROV_LOC_ID

Filter Criteria
FDL_PROV_SPCLTY.RECORD_TYPE = 'C'"
6,PROV_FINAL,FDL_PROV_LOC,ST_PRVNC_CD,CORP_SVC_CMS_SMITH,HIVE_PREM_PROV_EXTRCT,ST_CD,STRING,Direct Move
7,PROV_FINAL,FDL_PROV_LOC,POSTL_CD,CORP_SVC_CMS_SMITH,HIVE_PREM_PROV_EXTRCT,ZIP_CD,STRING,Move first 5 digits
